txn-1756534243212-9ur4t1l12,client-1756272833203-r5tlpg06q,,RESET,1000,1000,"Manual credit reset: Total Added = 1000, Total Used = 0",MANUAL,,2025-08-30 06:10:43.212,Sujatha Gold Covering Works,,,,
txn-1756655807738-zbngmopxv,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4993,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 15:56:47.738,Unknown Client,,,,
txn-1756655823687-892kwq3zm,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4992,Order creation,ORDER,60,2025-08-31 15:57:03.688,Unknown Client,,,,
txn-1756656824909-disxyvzh0,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4985,Order creation,ORDER,63,2025-08-31 16:13:44.91,Unknown Client,,,,
txn-1756657917415-gesi2sr00,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4968,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 16:31:57.415,Unknown Client,,,,
txn-1756657924320-yodc3f4nu,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4967,Order creation,ORDER,72,2025-08-31 16:32:04.32,Unknown Client,,,,
txn-1756658019118-psz0197tc,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4966,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 16:33:39.118,Unknown Client,,,,
txn-1756658039089-q3dujhprk,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4965,Order creation,ORDER,73,2025-08-31 16:33:59.089,Unknown Client,,,,
txn-1756658096022-l58fqpxbw,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4964,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 16:34:56.022,Unknown Client,,,,
txn-1756658111317-jrqz4dnj4,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4963,Order creation,ORDER,75,2025-08-31 16:35:11.317,Unknown Client,,,,
txn-1756658737357-0nzpyagy6,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4950,Order creation,ORDER,81,2025-08-31 16:45:37.357,Unknown Client,,,,
txn-1756658866428-k6iok13na,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4949,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 16:47:46.428,Unknown Client,,,,
txn-1756658877216-m1zw8wnxy,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4948,Order creation,ORDER,82,2025-08-31 16:47:57.216,Unknown Client,,,,
txn-1756667858582-46hzf2rgr,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,2,1955,AI Usage in Order reference,IMAGE_PROCESSING,,2025-08-31 19:17:38.583,Unknown Client,,,,
txn-1756709264605-eecm7dme3,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4938,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 06:47:44.605,Unknown Client,,,,
txn-1756709277424-bbrx95u57,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4937,Order creation,ORDER,93,2025-09-01 06:47:57.424,Unknown Client,,,,
txn-1756746064370-8fh7146fi,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4888,Order creation,ORDER,123,2025-09-01 17:01:04.37,Unknown Client,,,,
txn-1756739599886-dturczsq2,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4932,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 15:13:19.886,Unknown Client,,,,
txn-1756739685035-74gtj3mtc,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4931,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 15:14:45.035,Unknown Client,,,,
txn-1756740622183-w78tgufjs,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1944,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 15:30:22.183,Unknown Client,,,,
txn-1756742761662-tkfwx6xj5,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4923,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 16:06:01.662,Unknown Client,,,,
txn-1756742785444-4n93fjqc8,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4922,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 16:06:25.444,Unknown Client,,,,
txn-1756743541184-p81y31t7t,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4916,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 16:19:01.184,Unknown Client,,,,
txn-1756743549139-d6k9ppyh1,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4915,Order creation,ORDER,110,2025-09-01 16:19:09.139,Unknown Client,,,,
txn-1756744436093-g2lpn5mov,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4906,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 16:33:56.093,Unknown Client,,,,
txn-1756744445481-tdncut9l5,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4905,Order creation,ORDER,115,2025-09-01 16:34:05.481,Unknown Client,,,,
txn-1756744551702-sd9y1vnb6,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4904,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 16:35:51.702,Unknown Client,,,,
txn-1756744629279-tv169qlnt,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4903,Order creation,ORDER,116,2025-09-01 16:37:09.279,Unknown Client,,,,
txn-1756745643634-orj7097x5,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4894,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 16:54:03.634,Unknown Client,,,,
txn-1756746246946-e6z8c8pvi,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4884,Order creation,ORDER,125,2025-09-01 17:04:06.946,Unknown Client,,,,
txn-1756746296720-1po08796o,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4883,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 17:04:56.72,Unknown Client,,,,
txn-1756746309687-29avhz35c,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4882,Order creation,ORDER,126,2025-09-01 17:05:09.687,Unknown Client,,,,
txn-1756746394693-rauzirk5m,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4881,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 17:06:34.693,Unknown Client,,,,
txn-1756746411886-aw876520s,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4880,Order creation,ORDER,127,2025-09-01 17:06:51.886,Unknown Client,,,,
txn-1756746537251-ubefe406i,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4879,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 17:08:57.251,Unknown Client,,,,
txn-1756645453742-xlac5n8b7,default-client-001,,ADD,1000,1991,Credit recharge via UPI - RECHARGE-default--1756645438816-M0HM4U | UTR: 633456596040 | Client: Default Company,MANUAL,,2025-08-31 13:04:13.742,Default Company,,,,
txn-1756650796998-poj2zep7e,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1981,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 14:33:16.998,Unknown Client,,,,
txn-1756650817753-wlewwfkut,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1980,Order creation,ORDER,,2025-08-31 14:33:37.753,Unknown Client,,,,
txn-1756653357650-vpvolo7ui,client-1756653250197-7ltxt67xn,master-admin-1756272680518,ADD,5000,5000,Initial Load,MANUAL,,2025-08-31 15:15:57.65,Padmavathi Silks & Sarees,,,,
txn-1756655885165-kutpqolli,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4991,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 15:58:05.165,Unknown Client,,,,
txn-1756656900467-dtxyxl5zd,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4984,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 16:15:00.467,Unknown Client,,,,
txn-1756656919286-bhnuw68rl,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4983,Order creation,ORDER,64,2025-08-31 16:15:19.286,Unknown Client,,,,
txn-1756656979593-d3w8ysuf3,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4982,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 16:16:19.593,Unknown Client,,,,
txn-1756657011913-n5cw1rjs4,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4981,Order creation,ORDER,65,2025-08-31 16:16:51.913,Unknown Client,,,,
txn-1756657076031-7rz4u0oew,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4980,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 16:17:56.031,Unknown Client,,,,
txn-1756657088887-p3r5123nf,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4979,Order creation,ORDER,66,2025-08-31 16:18:08.887,Unknown Client,,,,
txn-1756658087413-umgbwvd36,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,2,1970,AI Usage in Order reference,IMAGE_PROCESSING,,2025-08-31 16:34:47.413,Unknown Client,,,,
txn-1756659456786-jlycioi5w,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,2,1967,AI Usage in Order reference,IMAGE_PROCESSING,,2025-08-31 16:57:36.786,Unknown Client,,,,
txn-1756709980872-nmfonp51i,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4936,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 06:59:40.872,Unknown Client,,,,
txn-1756709989240-wn1ahvtdp,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4935,Order creation,ORDER,94,2025-09-01 06:59:49.24,Unknown Client,,,,
txn-1756739930992-iz5afpw5c,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4930,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 15:18:50.992,Unknown Client,,,,
txn-1756334899163-jwqc0ggb4,client-1756319181164-s6ds2994c,master-admin-1756272680518,ADD,500,600,refill,MANUAL,,2025-08-27 22:48:19.163,Legacy Client,,,,
txn-1756740925985-ncdm4mrxa,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1943,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 15:35:25.985,Unknown Client,,,,
txn-1756741092065-0hscdb5mv,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1942,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 15:38:12.066,Unknown Client,,,,
txn-1756742810697-5gxqz05xk,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1941,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 16:06:50.697,Unknown Client,,,,
txn-1756743976593-uoq97qv4q,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4914,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 16:26:16.593,Unknown Client,,,,
txn-1756743989775-oq614oy2q,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4913,Order creation,ORDER,111,2025-09-01 16:26:29.775,Unknown Client,,,,
txn-1756744058669-ff03fg1en,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4912,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 16:27:38.669,Unknown Client,,,,
txn-1756744073851-luo607vk4,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4911,Order creation,ORDER,112,2025-09-01 16:27:53.851,Unknown Client,,,,
txn-1756745228060-mjwy2h6c6,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4902,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 16:47:08.06,Unknown Client,,,,
txn-1756745240307-5leldid73,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4901,Order creation,ORDER,117,2025-09-01 16:47:20.307,Unknown Client,,,,
txn-1756745848976-7zaoyh4s8,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4893,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 16:57:28.976,Unknown Client,,,,
txn-1756745873836-r32wc9rj4,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4892,Order creation,ORDER,121,2025-09-01 16:57:53.836,Unknown Client,,,,
txn-1756745970054-de5tfl8iq,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4891,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 16:59:30.054,Unknown Client,,,,
txn-1756745996616-l7xxyyv9j,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4890,Order creation,ORDER,122,2025-09-01 16:59:56.616,Unknown Client,,,,
txn-1756742817218-tc6an8vgo,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1940,Order creation,ORDER,,2025-09-01 16:06:57.218,Unknown Client,,,,
txn-1756734470380-wgem39chf,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1947,Order creation,ORDER,,2025-09-01 13:47:50.38,Unknown Client,,,,
txn-1756668088137-3qsytyrsa,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1951,Order creation,ORDER,,2025-08-31 19:21:28.137,Unknown Client,,,,
txn-1756659470873-od4p7ahgk,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1966,Order creation,ORDER,,2025-08-31 16:57:50.874,Unknown Client,,,,
txn-1756658094032-pydovdy3e,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1969,Order creation,ORDER,,2025-08-31 16:34:54.032,Unknown Client,,,,
txn-1756644208349-gnyp96e04,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,2,998,AI Usage in Order reference,IMAGE_PROCESSING,,2025-08-31 12:43:28.349,Unknown Client,,,,
txn-1756645527939-ubrkk7zu8,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,2,1989,AI Usage in Order reference,IMAGE_PROCESSING,,2025-08-31 13:05:27.939,Unknown Client,,,,
txn-1756645559190-yta7070lq,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1987,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 13:05:59.19,Unknown Client,,,,
txn-1756650891095-w4xcuwbi0,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1979,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 14:34:51.095,Unknown Client,,,,
txn-1756650935178-83kvd2z25,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1978,Order creation,ORDER,,2025-08-31 14:35:35.178,Unknown Client,,,,
txn-1756653637794-1kr7gzl4k,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4999,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 15:20:37.794,Unknown Client,,,,
txn-1756653767713-odl4ab0w2,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4998,Order creation,ORDER,57,2025-08-31 15:22:47.713,Unknown Client,,,,
txn-1756656511019-8y7ocg0lo,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4990,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 16:08:31.019,Unknown Client,,,,
txn-1756656548227-b0klxlz42,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4989,Order creation,ORDER,61,2025-08-31 16:09:08.227,Unknown Client,,,,
txn-1756657180017-g4lzix6qj,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4978,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 16:19:40.017,Unknown Client,,,,
txn-1756657197175-na64pmf5d,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4977,Order creation,ORDER,67,2025-08-31 16:19:57.175,Unknown Client,,,,
txn-1756658201933-p9q5tns8a,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4962,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 16:36:41.934,Unknown Client,,,,
txn-1756658209842-wqz98ssb4,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4961,Order creation,ORDER,76,2025-08-31 16:36:49.842,Unknown Client,,,,
txn-1756658282097-0yxye97pc,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4960,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 16:38:02.097,Unknown Client,,,,
txn-1756658294244-h3y4gyxrt,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4959,Order creation,ORDER,77,2025-08-31 16:38:14.244,Unknown Client,,,,
txn-1756658391304-vyfg47mkf,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4958,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 16:39:51.304,Unknown Client,,,,
txn-1756658405847-dwlwboecv,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4957,Order creation,ORDER,78,2025-08-31 16:40:05.847,Unknown Client,,,,
txn-1756658489904-o3qi751s4,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4956,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 16:41:29.904,Unknown Client,,,,
txn-1756658498143-kh55qx10t,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4955,Order creation,ORDER,79,2025-08-31 16:41:38.143,Unknown Client,,,,
txn-1756659606169-5p4bnhec6,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,2,1964,AI Usage in Order reference,IMAGE_PROCESSING,,2025-08-31 17:00:06.169,Unknown Client,,,,
txn-1756705607659-stciiywzl,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4947,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 05:46:47.659,Unknown Client,,,,
txn-1756705634681-hodozn6wr,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4946,Order creation,ORDER,89,2025-09-01 05:47:14.681,Unknown Client,,,,
txn-1756705753765-smmjk6gn4,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4945,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 05:49:13.765,Unknown Client,,,,
txn-1756705780414-b8y5czgzp,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4944,Order creation,ORDER,90,2025-09-01 05:49:40.414,Unknown Client,,,,
